date,G1,G2,G3,G4,G5
2026-02-27,1070781.7689783957,1280368.8839735773,1360194.9557039894,1432272.811000656,1466349.4652661604
2026-03-02,1053132.8083699828,1264619.3876985295,1338243.0954295439,1407198.7460590594,1435552.33744494
2026-03-03,1016296.95619374,1229038.6474207572,1308071.6476314461,1377884.169051445,1406856.6549290053
2026-03-04,1015192.5559117785,1222855.754613756,1297731.3759563153,1364855.132382867,1389379.8027414118
2026-03-05,1028632.3572963561,1236556.9157003998,1310464.3345782266,1380513.425025209,1404671.1277354623
2026-03-06,1045134.1529461999,1258867.0429590642,1331502.5291168205,1407077.8430790314,1431527.5007124173
2026-03-09,1042313.1301786789,1250891.311075851,1323377.6687116413,1399437.64847584,1423175.3583486804
2026-03-10,1045865.6133634584,1263275.6717423324,1336184.9248175207,1415645.5005632143,1444723.7075236845
2026-03-11,1051708.4520424728,1270506.378954317,1339689.7892825364,1414637.3136619243,1442796.154429255
2026-03-12,1050778.1045549721,1267841.3808028589,1336865.9425477558,1413025.263495358,1435642.7681413665
2026-03-13,1035193.9837757685,1257587.6078496058,1328137.348493399,1407636.553389731,1430339.296991234
2026-03-16,1034491.888877146,1253859.1251918797,1325703.4868949575,1408608.6083101775,1432005.6135047474
2026-03-17,1017691.1356396602,1232283.4879621046,1307756.31066161,1390760.5085371009,1418131.9971326508
2026-03-18,1019799.8630322203,1237115.5132960794,1311487.836780381,1397888.637354684,1427111.8540842854
2026-03-19,998245.465718324,1208185.7472172475,1283455.9611199982,1369367.517374727,1399039.9174395918
2026-03-20,971327.6653364762,1181224.8664268546,1258880.7245517804,1338990.0606144508,1369563.2725042924
2026-03-23,933928.7299712796,1122347.6883957693,1193540.3884807627,1263501.6519899408,1290578.7625346694
2026-03-24,969595.9070505302,1161525.7898169612,1234941.9516375838,1310210.176238713,1337135.4015930241
2026-03-25,994116.8613265083,1187085.6758281128,1262823.7926914336,1335672.406093865,1360287.2971968793
2026-03-26,980466.1017666649,1173843.695181573,1251259.188327002,1321749.1728109394,1348975.1184576855
2026-03-27,994870.7521623445,1187952.7758568297,1266288.7181667439,1340731.7325537517,1365718.9861481157
2026-03-30,989569.3814722874,1191974.6559318982,1268769.8182741033,1347603.567808509,1372807.7229686622
2026-03-31,966287.2642141933,1176951.8927137381,1256874.173030643,1336276.7089298575,1362038.7477919795
